Census_ID,State,District,Census_Year,Total_Population,Male_Population,Female_Population,Urban_Population,Rural_Population,Literates,Illiterates,Age_0_14,Age_15_59,Age_60_Plus
1,Kerala,District D,2001,1407972,1248406,2225682,117327,1582474,3191756,1854898,1262996,1603883,16607
2,Rajasthan,District A,2001,3499109,512132,344786,1212567,2585148,458409,315212,70517,1890835,278984
3,Maharashtra,District C,2011,2657366,910758,1130136,1259402,2821387,3309131,53128,818004,2895808,134975
4,Andhra Pradesh,District D,2001,4107211,1599224,1064984,1061993,2195117,3023385,300004,345690,2096536,627376
5,Andhra Pradesh,District A,2011,2011686,958965,1427229,2537427,66339,3328353,231213,954508,957325,301343
6,Rajasthan,District A,2001,2395081,1674486,2471524,321648,766450,3240577,314961,801664,491360,528829
7,Karnataka,District C,2011,3960390,268550,2303748,78952,2140123,3125709,541705,463072,2847044,64895
8,Tamil Nadu,District C,2001,978164,1463607,502022,1996183,2644131,577883,273453,182664,2581840,450957
9,Telangana,District D,2011,244509,1063840,416668,1476133,74097,1897962,1124390,1486373,832432,50089
10,Rajasthan,District C,2001,4743684,971876,153239,1607961,2655416,3242034,1686951,747357,733663,589303
11,Kerala,District A,2001,3440470,1390048,193113,1137917,1732634,424659,821995,1194519,2285174,738070
12,Bihar,District D,2001,2816664,2469893,670147,1182398,2288772,1114557,1443356,149529,2913650,380039
13,Andhra Pradesh,District C,2001,3669410,424059,1976949,848402,762098,3175156,588230,93379,1625657,316229
14,Maharashtra,District D,2001,244248,2468911,1297183,2713321,2650424,568656,1522493,737874,2939718,121248
15,Bihar,District C,2001,1238076,443023,2170269,2466600,891924,1490063,183895,1413979,2590568,475090
16,Maharashtra,District D,2011,3846017,2183285,1279939,2986466,637872,3697484,41650,1054092,1020505,613962
17,Maharashtra,District C,2001,129699,1531798,1760475,747826,2654055,2972397,874837,1477235,1887383,581643
18,West Bengal,District E,2001,3218842,2031731,2171353,726626,154298,559392,1208595,295676,1947892,602692
19,Rajasthan,District E,2001,2489144,162301,2370008,2881973,1582101,549469,883887,1014556,546787,744840
20,Kerala,District C,2011,1194482,1900545,1585287,1572034,873118,506410,502301,1420280,2190052,423994
21,Uttar Pradesh,District E,2011,3531524,677452,1914770,1543478,716753,405402,1729093,642567,2060111,310102
22,Bihar,District C,2011,829636,340723,111538,649485,597216,2138053,671805,777102,1115454,203213
23,Uttar Pradesh,District E,2001,762080,1868544,1396416,786904,366494,3552368,461635,463762,2572338,234515
24,Tamil Nadu,District B,2011,1447277,1490388,1036530,1435549,1769559,175912,1051386,186054,1331892,346864
25,Bihar,District B,2001,3824112,206550,82643,555589,391616,1213012,23182,581124,964326,799475
26,Tamil Nadu,District D,2001,3425855,996768,2384470,823211,1724256,3880320,1354169,804781,45489,585663
27,Rajasthan,District D,2001,4673656,395703,1228304,1510404,1864114,2125176,1418653,868600,2061846,10506
28,Tamil Nadu,District B,2001,1510913,1702403,806337,946934,526111,3219007,1925636,182661,43866,307279
29,Andhra Pradesh,District E,2011,1338126,887599,760376,1951431,1625087,3766585,312418,649829,2936439,239972
30,Uttar Pradesh,District D,2001,4342278,341654,204116,2513157,854712,1111499,1531463,92573,202159,347115
31,Uttar Pradesh,District D,2011,3353947,1668168,1586025,1185421,2698072,1750982,42631,1054945,170735,266871
32,Andhra Pradesh,District C,2011,3614327,2339967,381590,2474559,301148,1609040,905687,801952,2386725,509562
33,Karnataka,District C,2011,159262,1178826,204439,2293782,2268618,2893450,775669,1326733,2935003,236262
34,Andhra Pradesh,District B,2001,2996583,1342979,2009382,346641,703276,721429,1947326,707811,2466171,94508
35,Rajasthan,District D,2011,122674,792343,425744,1256406,989162,2875058,1204472,1215196,2359860,332558
36,Telangana,District B,2001,4045422,1139280,292222,2640970,885174,2611502,301258,1227391,2195518,238714
37,Andhra Pradesh,District B,2011,1876987,1862297,1096007,763745,1815085,2764057,1927876,41850,1929306,350326
38,Tamil Nadu,District A,2011,4145215,1814044,1516961,2614147,1997969,1328705,1978794,1281203,2263480,748002
39,Bihar,District C,2001,4413078,982072,1306322,57543,2846129,3213052,1848001,194168,515933,754800
40,Maharashtra,District A,2001,3998854,1286702,1984501,491052,1853322,2679337,734169,813479,1403293,624161
41,Kerala,District C,2011,512313,52804,1500366,1411811,1415218,3285493,1714300,1109178,2422182,234233
42,Andhra Pradesh,District E,2011,4928057,2470560,1759604,2801737,1271137,2530304,1723229,978339,2465135,69313
